location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,price_per_meter
Московская область,sale,flat,5,7,3,172.26,452748561.0,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park,2015,-1.0,-1,-1.0,-1,-1,15 м²,2628286.0849878094
Московская область,sale,flat,21,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская,Династия,2022,-1.0,-1,-1.0,-1,"25,8 м²",10 м²,735294.1176470589
Московская область,sale,flat,3,26,1,25.7,5100000.0,, Солнечная,2,Люберцы,Облака 2.0,2023,-1.0,-1,-1.0,-1,"12,9 м²","3,6 м²",198443.57976653698
Московская область,sale,flat,8,9,1,40.4,17652698.0,Красногвардейский, Стахановцев,1,Новочеркасская,"Малоохтинский, 68",2024,-1.0,"Монолитно-кирпичный, монолитный",-1.0,Предчистовая,"11,8 м²","15,7 м²",436947.9702970297
Московская область,sale,flat,17,33,1,23.4,7600000.0,, Сосновая,5к1,Котельники,,2022,-1.0,-1,-1.0,-1,-1,4 м²,324786.3247863248
Московская область,sale,flat,2,16,1,22.64,6350000.0,Молжаниновский,Ленинградское шоссе,229Ак2,Новоподрезково,Молжаниново,2024,-1.0,-1,-1.0,-1,"11,1 м²","3,6 м²",280477.03180212015
Московская область,sale,flat,1,5,1,35.3,2950000.0,Конаково, Гагарина,12,,,-1,-1.0,-1,-1.0,-1,"20,5 м²",7 м²,83569.40509915014
Московская область,sale,flat,7,9,1,32.44,5155040.0,Колпинский,Заречье тер.,,Рыбацкое,Квартал Заречье,2026,-1.0,Монолитный,-1.0,Чистовая,"12,3 м²",11 м²,158909.98766954377
Московская область,sale,flat,33,41,1,46.0,21000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,2024,-1.0,-1,-1.0,-1,18 м²,23 м²,456521.73913043475
Московская область,sale,flat,2,12,1,41.0,11700000.0,Соколиная гора,Вольная ,4,Семёновская,,1960,-1.0,-1,-1.0,-1,21 м²,10 м²,285365.85365853657
