location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters
Московская область,sale,flat,3,18,2,48.5,35800507.0,Донской,2-й Донской проезд,10.0,Ленинский проспект,SHIFT,2028,-1.0,Монолитный,-1.0,"Без отделки, чистовая",-1,-1
Московская область,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14.0,Трубная,,2005,-1.0,-1,-1.0,-1,-1,15 м²
Московская область,sale,flat,2,5,3,207.4,435330900.0,Тверской,Никольская ,23.840736040609137,Лубянка,St. Nickolas,2015,-1.0,-1,-1.0,-1,-1,20 м²
Москва,sale,flat,14,18,4,138.5,158765458.0,Донской,2-й Донской проезд,10.0,Ленинский проспект,SHIFT,2028,-1.0,Монолитный,-1.0,"Без отделки, чистовая",-1,-1
Москва,sale,flat,3,9,4,130.0,205000000.0,Хамовники,Саввинская набережная,13.0,Киевская,SAVVIN RIVER RESIDENCE,2021,-1.0,-1,-1.0,-1,-1,10 м²
Москва,sale,flat,3,20,4,102.4,18953124.0,,Ленинградский проспект,3.0,Филатов Луг,Город-парк Первый Московский,2027,-1.0,"Панельный, монолитный",-1.0,"Без отделки, чистовая","47,4 м²",-1
Москва,sale,flat,59,67,4,131.0,137550000.0,Пресненский,Краснопресненская набережная,23.840736040609137,Москва-Сити,Capital Towers,-1,-1.0,-1,-1.0,-1,-1,15 м²
Москва,sale,flat,11,17,1,37.6,10800000.0,, Бориса Пастернака,49.0,Мичуринец,,2019,-1.0,-1,-1.0,-1,-1,"9,1 м²"
Москва,sale,flat,10,14,1,35.1,11250000.0,Чертаново Северное,Чертановская ,23.840736040609137,Южная,,1969,-1.0,-1,-1.0,-1,-1,9 м²
Москва,sale,flat,46,53,1,47.4,21396170.0,Свиблово,проезд Серебрякова,23.840736040609137,Ботанический сад,Afi Tower,2024,-1.0,Монолитно-кирпичный,-1.0,"Предчистовая, чистовая",-1,-1
