location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,house_material_type,living_meters,kitchen_meters
Москва,sale,flat,9,14,3,127.9,95797100.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,2026.0,Монолитный,"42,7 м²","35,3 м²"
Москва,sale,flat,1,5,3,65.1,17500000.0,Марьина роща,4-й Стрелецкий проезд,13,Савёловская,Lucky,2021.0,Кирпичный,"36,6 м²","6,7 м²"
Москва,sale,flat,13,24,3,64.8,22900000.0,Донской,Новоданиловская набережная,8,Верхние котлы,Новоданиловская 8,2022.0,Кирпичный,-1,20 м²
Москва,sale,flat,18,47,3,81.43,37261472.0,Хорошево-Мневники,Ленинградский проспект,23,Полежаевская,Джойс ЖК,2027.0,Монолитный,-1,-1
Москва,sale,flat,7,20,4,178.0,77000000.0,Черемушки,Новочеремушкинская ,23,Профсоюзная,Адмирал,2021.0,Монолитно-кирпичный,-1,10 м²
Москва,sale,flat,3,4,4,211.6,202000000.0,Пресненский,Малый Кисловский переулок,7,Арбатская,Lucky,1885.0,Монолитный,-1,20 м²
Москва,sale,flat,3,7,2,62.0,53000000.0,Замоскворечье,Садовническая ,29,Новокузнецкая,BALCHUG RESIDENCE,2016.0,Монолитно-кирпичный,-1,10 м²
Москва,sale,flat,9,14,3,127.9,95797100.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,2026.0,Монолитный,"42,7 м²","35,3 м²"
Москва,sale,flat,12,22,4,160.0,94000000.0,Пресненский,Шмитовский проезд,23,Москва-Сити,Шмитовский 16,2007.0,Монолитно-кирпичный,-1,-1
Москва,sale,flat,10,29,3,83.5,36385292.0,Печатники,Ленинградский проспект,23,Нагатинский Затон,Портлэнд ЖК,2028.0,Монолитный,"37,1 м²",-1
Москва,sale,flat,5,6,3,130.0,68000000.0,Крылатское,Крылатская ,23,Крылатское,Долина грез,2006.0,Панельный,90 м²,20 м²
Москва,sale,flat,10,26,3,74.5,72000000.0,Очаково-Матвеевское,Нежинская ,23,Матвеевская,Городские резиденции SPIRES,2021.0,Монолитный,40 м²,10 м²
Москва,sale,flat,2,33,3,65.8,27682060.0,Сокольники, Матросская Тишина,23,Сокольники,Sokolniki,2027.0,Монолитно-кирпичный,"40,2 м²",-1
Новая Москва,sale,flat,4,7,4,150.0,226130000.0,Пресненский,Хлыновский тупик,4,Арбатская,Lucky,2007.0,Монолитно-кирпичный,-1,-1
Новая Москва,sale,flat,9,15,4,85.0,28766805.0,Гольяново,Монтажная ,23,Щёлковская,1-й Измайловский,2026.0,Монолитный,"49,1 м²",9 м²
Новая Москва,sale,flat,5,8,4,75.0,59500000.0,Замоскворечье,переулок Старый Толмачевский,23,Новокузнецкая,Lucky,2021.0,Кирпичный,60 м²,10 м²
Новая Москва,sale,flat,37,66,4,209.7,179293500.0,Пресненский,1-й Красногвардейский проезд,23,Москва-Сити,NEVA TOWERS,2020.0,Монолитный,-1,-1
Новая Москва,sale,flat,6,6,4,169.0,90000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,Lucky,1902.0,Монолитный,-1,-1
Новая Москва,sale,flat,3,13,3,71.3,24567484.0,Очаково-Матвеевское,Очаково мкр,23,Аминьевская,Среда на Лобачевского,2027.0,Монолитный,"47,6 м²",-1
Новая Москва,sale,flat,6,23,4,146.5,55299000.0,Кунцево, Екатерины Будановой,5,Рабочий посёлок,Катрин-Хаус,2021.0,Панельный,"81,5 м²","17,8 м²"
Новая Москва,sale,flat,2,9,3,121.84,41644912.0,Советский,Ленинградский проспект,23,Суконная слобода,Мифы ЖК,2026.0,Монолитный,"47,7 м²",12 м²
Новая Москва,sale,flat,7,25,3,99.0,66900000.0,Раменки, Янковского,23,Аминьевская,Событие,2021.0,Монолитно-кирпичный,36 м²,"29,5 м²"
Новая Москва,sale,flat,2,12,1,51.2,31300000.0,Сокол, Врубеля,23,Сокол,Врубеля 4,2022.0,Монолитный,33 м²,5 м²
Новая Москва,sale,flat,3,26,1,25.7,5100000.0,Пресненский, Солнечная,2,Люберцы,Облака 2.0,2023.0,Монолитно-кирпичный,"12,9 м²","3,6 м²"
Новая Москва,sale,flat,3,18,1,37.0,6897000.0,Приволжский,Ленинградский проспект,23,Аметьево,Паркмаяк ЖК,2026.0,Монолитно-кирпичный,-1,-1
Новая Москва,sale,flat,14,25,3,109.4,47750000.0,Раменки, Лобачевского,23,Аминьевская,Лобачевский,2017.0,Панельный,-1,"12,2 м²"
Новая Москва,sale,flat,6,33,3,97.7,36990000.0,Рязанский, Михайлова,23,Плющево,Михайловский парк,2021.0,Монолитно-кирпичный,51 м²,17 м²
Новая Москва,sale,flat,2,5,3,207.4,435330900.0,Тверской,Никольская ,23,Лубянка,St. Nickolas,2015.0,Панельный,-1,20 м²
Новая Москва,sale,flat,2,19,3,99.0,53000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2018.0,Монолитно-кирпичный,-1,7 м²
Новая Москва,sale,flat,10,15,3,80.0,85000000.0,Беговой, 1-я Ямского Поля,23,Белорусская,Slava,2023.0,Кирпичный,50 м²,16 м²
Новая Москва,sale,flat,8,53,3,150.0,135000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,2011.0,Монолитный,-1,-1
Новая Москва,sale,flat,3,21,2,66.5,65990000.0,Пресненский, Сергея Макеева,23,Улица 1905 года,RedSide,2017.0,Панельный,-1,-1
Новая Москва,sale,flat,6,23,3,103.8,48500000.0,Раменки, Столетова,7,Ломоносовский проспект,Lucky,2009.0,Монолитно-кирпичный,66 м²,8 м²
Новая Москва,sale,flat,6,6,2,62.8,62000000.0,Хамовники,Комсомольский проспект,23,Парк Культуры,Николаевский дом,2013.0,Кирпичный,40 м²,10 м²
Новая Москва,sale,flat,3,6,2,124.3,270980000.0,Басманный,Потаповский переулок,23,Чистые пруды,Чистые Пруды,2025.0,Монолитный,"37,8 м²","39,4 м²"
Новая Москва,sale,flat,6,6,3,83.6,47900000.0,Дорогомилово,Студенческая ,32,Студенческая,Lucky,1936.0,Монолитно-кирпичный,-1,"20,1 м²"
Новая Москва,sale,flat,7,20,2,57.9,27000000.0,Алексеевский,Староалексеевская ,3,Алексеевская,Lucky,2022.0,Монолитно-кирпичный,"33,6 м²","11,4 м²"
Новая Москва,sale,flat,12,17,2,44.4,28704600.0,Раменки,Мичуринский проспект,23,Ломоносовский проспект,Legacy,2025.0,Монолитный,"27,6 м²","5,1 м²"
Новая Москва,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ,2023.0,Панельный,60 м²,20 м²
Новая Москва,sale,flat,8,16,2,49.3,47900000.0,Раменки,проспект Генерала Дорохова,23,Минская,Собрание клубных домов West Garden,2023.0,Монолитно-кирпичный,-1,15 м²
Новая Москва,sale,flat,6,9,2,82.45,39576000.0,Василеостровский,20-я Васильевского острова линия,19,Василеостровская,"Большой, 67",2025.0,Монолитный,"25,1 м²","27,7 м²"
Новая Москва,sale,flat,2,9,2,67.9,21500000.0,Северный,бульвар Академика Ландау,3,Физтех,Северный,2017.0,Панельный,38 м²,17 м²
Новая Москва,sale,flat,3,6,2,42.0,6101739.0,Пресненский,Ленинградский проспект,23,Чкаловская,Лес ЖК,2026.0,"Монолитно-кирпичный, кирпичный",29 м²,4 м²
Новая Москва,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,Lucky,2005.0,Монолитно-кирпичный,-1,15 м²
Новая Москва,sale,flat,2,23,2,77.6,86100000.0,Пресненский,Ленинградский проспект,23,Улица 1905 года,Лайф Тайм ЖК,2026.0,Монолитный,"30,6 м²","19,5 м²"
Новая Москва,sale,flat,24,24,2,57.4,37480000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021.0,Монолитный,28 м²,"15,6 м²"
Новая Москва,sale,flat,13,24,3,64.8,24200000.0,Донской,Новоданиловская набережная,8,Верхние котлы,Новоданиловская 8,2022.0,Монолитно-кирпичный,-1,20 м²
Новая Москва,sale,flat,3,6,2,207.3,582330000.0,Хамовники,3-й Обыденский переулок,23,Кропоткинская,Клубный дом Обыденский № 1,2026.0,Монолитно-кирпичный,"59,5 м²","37,8 м²"
Новая Москва,sale,flat,5,24,2,75.0,48000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021.0,Кирпичный,38 м²,22 м²
Новая Москва,sale,flat,1,6,3,78.8,47650000.0,Мещанский,Большой Сергиевский переулок,9,Трубная,Lucky,1932.0,Монолитно-кирпичный,60 м²,10 м²
Новая Москва,sale,flat,8,19,2,57.7,28388400.0,Щукино, Расплетина,23,Октябрьское поле,Театральный квартал,2025.0,Монолитный,"37,2 м²","15,5 м²"
Новая Москва,sale,flat,6,7,3,88.3,53000000.0,Хамовники,Большая Пироговская ,23,Спортивная,Lucky,1938.0,Монолитно-кирпичный,50 м²,10 м²
Новая Москва,sale,flat,12,22,4,160.0,94000000.0,Пресненский,Шмитовский проезд,23,Москва-Сити,Шмитовский 16,2007.0,Кирпичный,-1,-1
Новая Москва,sale,flat,4,4,4,135.0,165000000.0,Центральный,набережная Кутузова,24,Чернышевская,Особняк Кушелева-Безбородко,2015.0,Кирпичный,"64,7 м²",9 м²
Новая Москва,sale,flat,5,24,1,39.1,19800000.0,Фили-Давыдково, Герасима Курина,18,Славянский бульвар,Lucky,2005.0,Кирпичный,-1,12 м²
Новая Москва,sale,flat,4,5,1,40.17,14461200.0,Вахитовский,Ленинградский проспект,23,Кремлёвская,Дом на Исхаки ЖК,2026.0,Монолитно-кирпичный,"13,4 м²","11,6 м²"
Новая Москва,sale,flat,3,14,3,138.9,236130000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,2021.0,Панельный,-1,-1
Новая Москва,sale,flat,12,13,2,53.9,17500000.0,Савёлки,Зеленоград,531,Зеленоград — Крюково,Lucky,2003.0,Панельный,"30,8 м²","7,9 м²"
Новая Москва,sale,flat,12,17,3,75.4,25000000.0,Коньково,Миклухо-Маклая ,23,Беляево,Lucky,1986.0,Монолитный,47 м²,10 м²
Москва,sale,flat,9,9,-1,31.2,58640400.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,2023.0,Монолитный,-1,-1
Москва,sale,flat,1,3,-1,24.1,14460000.0,Арбат,Шубинский переулок,7,Смоленская,Lucky,1914.0,Кирпичный,"16,1 м²",3 м²
Москва,sale,flat,13,27,1,29.6,16901600.0,Басманный, Фридриха Энгельса,23,Бауманская,Дом 56,2026.0,Монолитно-кирпичный,"12,5 м²","7,8 м²"
Москва,sale,flat,3,15,1,30.0,18250000.0,Пресненский,Шмитовский проезд,23,Шелепиха,Headliner,2019.0,Кирпичный,15 м²,6 м²
Москва,sale,flat,3,36,1,27.12,18462497.0,Савеловский,Ленинградский проспект,23,Дмитровская,Симфония 34 ЖК,2025.0,Монолитный,15 м²,-1
Москва,sale,flat,10,14,1,28.7,17900000.0,Лефортово,проезд Шелихова,3,Площадь Ильича,Символ,2023.0,Кирпичный,"19,5 м²",1 м²
